aX,aY,aZ,gX,gY,gZ
0.578,-0.784,-1.107,2.030,23.590,-23.170
0.588,-0.771,-1.115,4.270,20.370,-17.710
0.595,-0.768,-1.127,5.950,15.960,-11.550
0.620,-0.778,-1.124,6.790,11.340,-5.530
0.654,-0.788,-1.120,7.140,6.650,1.050
0.676,-0.800,-1.124,7.140,0.980,7.770
0.693,-0.806,-1.129,8.610,-5.180,14.210
0.712,-0.796,-1.124,11.340,-10.500,21.840
0.732,-0.804,-1.124,13.580,-15.680,29.540
0.746,-0.806,-1.104,15.680,-22.050,37.590
0.764,-0.843,-1.083,14.840,-30.380,45.010
0.785,-0.890,-1.085,10.850,-37.030,52.500
0.811,-0.907,-1.112,6.720,-43.190,59.920
0.838,-0.904,-1.136,4.550,-48.930,68.110
0.863,-0.920,-1.165,2.310,-54.250,76.370
0.886,-0.946,-1.185,-0.700,-61.110,90.160
0.909,-0.970,-1.205,-6.090,-68.390,100.730
0.934,-0.982,-1.195,-10.010,-76.790,110.390
0.957,-1.044,-1.197,-18.130,-85.750,121.520
0.983,-1.081,-1.194,-27.440,-96.250,131.040
1.005,-1.078,-1.167,-34.650,-112.630,142.100
0.970,-1.071,-1.166,-41.020,-124.390,154.280
0.938,-1.014,-1.170,-46.200,-134.820,165.410
0.899,-0.952,-1.167,-48.860,-144.060,178.500
0.859,-0.890,-1.148,-49.700,-154.420,188.650
0.813,-0.864,-1.137,-51.870,-161.560,195.860
0.773,-0.845,-1.111,-54.950,-168.350,201.740
0.628,-0.836,-1.080,-59.850,-176.400,206.080
0.716,-0.793,-1.045,-64.820,-181.440,208.530
0.679,-0.764,-1.008,-68.320,-186.340,210.420
0.647,-0.723,-0.962,-67.900,-190.400,210.770
0.603,-0.702,-0.917,-65.170,-193.760,213.850
0.569,-0.684,-0.878,-61.740,-194.810,216.650
0.563,-0.658,-0.842,-60.340,-195.440,218.400
0.526,-0.579,-0.798,-56.700,-196.420,222.530
0.476,-0.550,-0.786,-56.420,-195.860,224.070
0.439,-0.538,-0.796,-56.350,-196.490,226.310
0.414,-0.448,-0.785,-54.670,-197.890,227.990
0.386,-0.385,-0.763,-50.190,-199.080,228.410
0.342,-0.355,-0.718,-45.920,-199.010,226.310
0.282,-0.332,-0.666,-42.840,-198.030,224.840
0.242,-0.342,-0.612,-43.750,-196.070,223.020
0.220,-0.366,-0.578,-45.570,-194.390,221.690
0.216,-0.354,-0.565,-47.530,-192.010,221.270
0.216,-0.337,-0.599,-50.260,-189.420,220.290
0.199,-0.289,-0.601,-51.030,-188.020,218.820
0.191,-0.246,-0.614,-50.400,-186.340,216.370
0.157,-0.195,-0.607,-49.910,-184.520,214.060
0.118,-0.201,-0.617,-53.480,-182.910,209.790
0.107,-0.170,-0.597,-52.080,-182.630,206.290
0.103,-0.088,-0.532,-48.510,-183.330,202.580
0.039,-0.087,-0.499,-47.600,-182.140,198.940
-0.017,-0.079,-0.473,-46.480,-180.670,196.560
-0.038,-0.049,-0.475,-41.580,-177.380,194.250
-0.048,-0.048,-0.514,-43.750,-172.760,191.380
-0.024,-0.133,-0.599,-53.480,-166.390,185.360
0.051,-0.067,-0.609,-53.830,-161.630,179.970
-0.011,-0.005,-0.613,-56.770,-162.540,173.110
0.100,-0.065,-0.609,-62.300,-161.000,167.300
-0.046,-0.060,-0.551,-69.580,-165.760,168.980
0.030,-0.016,-0.490,-66.570,-170.520,159.600
-0.030,0.153,-0.423,-59.430,-173.530,159.600
-0.140,0.123,-0.442,-58.170,-170.240,161.700
-0.195,0.151,-0.433,-53.410,-164.570,166.460
-0.216,0.263,-0.353,-42.420,-159.740,167.440
-0.240,0.353,-0.311,-27.860,-153.790,163.380
-0.391,0.399,-0.286,-17.290,-143.150,158.620
-0.433,0.338,-0.246,-8.050,-137.620,154.770
-0.477,0.341,-0.194,-0.490,-132.090,150.220
-0.450,0.335,-0.170,2.380,-125.300,146.650
-0.463,0.297,-0.186,2.450,-118.860,137.620
-0.432,0.295,-0.212,0.420,-110.250,131.600
-0.529,0.301,-0.235,5.460,-111.510,127.610
-0.526,0.372,-0.203,10.290,-114.100,125.720
-0.540,0.397,-0.216,12.390,-110.390,121.310
-0.555,0.424,-0.222,16.590,-107.660,117.110
-0.573,0.459,-0.193,20.930,-103.250,112.630
-0.670,0.492,-0.168,21.770,-94.780,106.470
-0.728,0.483,-0.178,19.250,-83.020,99.820
-0.736,0.506,-0.164,21.630,-73.290,96.040
-0.714,0.577,-0.150,26.460,-64.050,90.930
-0.746,0.618,-0.138,30.450,-57.470,88.550
-0.781,0.600,-0.151,26.250,-54.460,85.050
-0.810,0.618,-0.210,18.690,-50.120,77.840
-0.829,0.673,-0.219,15.890,-41.160,66.640
-0.843,0.696,-0.208,13.860,-37.590,57.540
-0.848,0.681,-0.226,12.880,-35.420,51.030
-0.866,0.692,-0.261,11.760,-31.640,45.710
-0.874,0.712,-0.260,9.310,-28.770,40.880
-0.871,0.684,-0.233,2.240,-24.710,35.210
-0.891,0.780,-0.200,6.930,-29.540,34.930
-0.789,0.650,-0.415,-3.080,-17.920,17.920
-0.901,0.753,-0.235,-8.750,-13.790,11.690
-0.942,0.809,-0.234,-10.710,-9.170,9.590
-0.823,0.707,-0.312,-17.780,-4.550,-1.400
-0.897,0.746,-0.242,-18.760,0.140,-7.700
-0.962,0.634,-0.232,-14.070,2.310,-11.480
-0.936,0.652,-0.280,-17.500,2.450,-14.700
-0.918,0.601,-0.336,-22.400,2.450,-18.130

0.881,-0.776,-0.753,42.490,101.080,-136.080
0.885,-0.798,-0.777,44.240,97.440,-132.020
0.932,-0.820,-0.801,45.850,92.960,-126.910
0.963,-0.833,-0.798,47.110,88.200,-121.310
0.962,-0.855,-0.787,46.270,83.020,-114.730
0.963,-0.870,-0.766,43.190,76.720,-107.240
0.959,-0.883,-0.752,37.940,70.350,-100.100
0.951,-0.879,-0.744,31.850,64.610,-90.020
0.943,-0.865,-0.742,31.220,59.080,-82.600
0.943,-0.858,-0.754,31.080,54.040,-74.690
0.931,-0.878,-0.773,28.910,49.210,-66.640
0.936,-0.902,-0.794,26.390,44.170,-58.380
0.948,-0.913,-0.817,23.170,38.990,-49.770
0.975,-0.950,-0.843,20.440,30.520,-40.810
0.972,-0.965,-0.846,17.360,23.730,-30.940
0.966,-0.989,-0.860,14.910,16.940,-21.000
0.961,-0.980,-0.876,14.630,10.990,-10.360
0.954,-0.987,-0.888,15.120,5.320,5.320
0.956,-0.993,-0.896,15.120,-0.420,17.150
0.953,-0.998,-0.900,14.490,-6.510,28.350
0.951,-1.017,-0.895,11.270,-13.160,38.570
0.971,-1.054,-0.892,5.670,-20.720,48.230
0.985,-1.051,-0.892,1.050,-28.700,58.030
0.992,-1.031,-0.909,-1.330,-38.360,68.320
0.986,-1.012,-0.913,-3.710,-44.870,78.750
0.989,-1.025,-0.903,-8.890,-51.800,88.340
1.017,-1.044,-0.890,-14.560,-59.710,98.000
1.051,-1.053,-0.885,-22.400,-67.760,111.790
1.087,-1.049,-0.905,-25.550,-75.320,122.920
1.101,-1.024,-0.914,-25.690,-82.180,135.030
1.112,-1.005,-0.916,-24.710,-90.510,147.070
1.124,-1.005,-0.903,-25.340,-96.530,158.340
1.148,-1.010,-0.884,-28.420,-103.530,168.910
1.163,-1.016,-0.865,-31.920,-111.020,178.640
1.166,-1.014,-0.840,-53.340,-118.790,190.750
1.160,-0.999,-0.822,-43.050,-126.350,198.590
1.137,-0.960,-0.800,-49.630,-134.260,206.010
1.113,-0.948,-0.792,-58.870,-142.240,211.610
1.098,-0.913,-0.784,-67.410,-151.060,217.140
1.068,-0.879,-0.772,-75.460,-162.960,221.970
1.028,-0.868,-0.762,-81.760,-170.870,226.940
0.996,-0.840,-0.750,-86.240,-177.450,231.070
0.962,-0.832,-0.738,-88.970,-182.070,235.200
0.933,-0.824,-0.712,-92.540,-186.270,239.960
0.895,-0.789,-0.673,-93.940,-189.770,243.390
0.861,-0.782,-0.645,-94.570,-192.360,245.210
0.823,-0.804,-0.611,-102.200,-193.970,246.050
0.807,-0.734,-0.523,-104.790,-200.480,250.250
0.743,-0.663,-0.488,-107.380,-204.680,254.730
0.639,-0.619,-0.526,-108.150,-205.380,260.960
0.564,-0.559,-0.535,-105.560,-205.310,265.720
0.500,-0.479,-0.548,-98.000,-203.490,270.550
0.425,-0.406,-0.554,-93.100,-201.180,272.440
0.359,-0.401,-0.544,-91.700,-199.010,272.860
0.307,-0.407,-0.508,-93.450,-197.960,271.950
0.273,-0.416,-0.474,-92.680,-197.960,269.710
0.220,-0.391,-0.421,-91.070,-196.980,267.470
0.163,-0.354,-0.423,-88.970,-195.650,266.770
0.133,-0.337,-0.432,-88.060,-194.530,264.390
0.071,-0.262,-0.442,-80.360,-192.010,262.150
0.023,-0.150,-0.449,-64.540,-188.440,260.330
-0.028,-0.122,-0.473,-54.390,-181.300,258.370
-0.090,-0.083,-0.451,-49.840,-177.520,255.220
-0.146,-0.073,-0.439,-45.010,-172.900,246.960
-0.187,-0.050,-0.429,-36.540,-167.650,241.780
-0.219,-0.009,-0.418,-28.490,-163.380,236.950
-0.249,0.028,-0.390,-18.130,-160.300,233.240
-0.323,0.045,-0.349,-16.240,-157.990,232.750
-0.325,0.004,-0.364,-14.420,-149.800,224.280
-0.365,0.061,-0.351,-13.860,-145.740,221.550
-0.398,0.061,-0.383,-16.030,-136.220,211.470
-0.417,0.074,-0.400,-13.580,-133.490,202.440
-0.420,0.111,-0.434,-5.670,-126.840,195.720
-0.441,0.105,-0.438,-10.430,-120.820,185.080
-0.429,0.082,-0.401,-15.820,-116.830,182.420
-0.517,0.016,-0.397,-17.220,-102.620,167.020
-0.479,0.102,-0.378,-15.050,-91.980,160.090
-0.462,0.141,-0.339,-10.570,-91.630,164.150
-0.429,0.075,-0.349,-10.920,-86.590,167.790
-0.485,0.082,-0.358,-21.840,-82.390,158.550
-0.483,0.111,-0.425,-28.700,-74.060,148.960
-0.529,0.202,-0.458,-28.980,-66.080,143.360
-0.485,0.253,-0.456,-29.470,-64.190,139.230
-0.516,0.223,-0.484,-32.480,-60.550,130.970
-0.462,0.229,-0.469,-34.230,-55.860,124.600
-0.548,0.314,-0.440,-19.950,-56.770,127.260
-0.560,0.334,-0.405,-5.600,-55.860,132.160
-0.548,0.327,-0.418,2.310,-52.710,134.050
-0.545,0.346,-0.417,11.550,-46.900,131.740
-0.652,0.378,-0.401,15.540,-34.580,127.750
-0.609,0.399,-0.372,20.230,-32.340,128.030
-0.545,0.394,-0.425,18.970,-29.050,116.340
-0.589,0.453,-0.468,20.020,-20.720,113.680
-0.692,0.475,-0.469,24.570,-27.720,119.770
-0.580,0.424,-0.495,19.740,-33.810,114.870
-0.505,0.444,-0.497,14.700,-38.430,109.410
-0.622,0.454,-0.497,7.070,-36.190,97.230
-0.639,0.462,-0.489,4.970,-37.310,93.520
-0.663,0.476,-0.498,-0.070,-35.770,89.250
-0.651,0.556,-0.486,-1.190,-35.210,80.920
-0.740,0.617,-0.492,0.560,-29.820,75.950
-0.776,0.652,-0.449,2.940,-27.650,69.020
-0.719,0.659,-0.446,3.360,-24.080,60.970
-0.744,0.678,-0.454,4.830,-18.690,53.130
-0.795,0.691,-0.435,6.230,-13.160,46.760
-0.781,0.667,-0.435,4.760,-11.340,39.900
-0.758,0.685,-0.390,2.870,-11.480,32.550
-0.763,0.733,-0.397,6.160,-11.340,24.780
-0.709,0.664,-0.430,-15.750,-8.610,7.280
-0.746,0.662,-0.353,-14.560,-10.080,0.700
-0.875,0.742,-0.335,-14.000,-9.380,-4.130
-0.816,0.708,-0.356,-12.810,-8.540,-10.150
-0.794,0.653,-0.400,-13.650,-7.560,-15.120
-0.815,0.578,-0.447,-16.030,-8.120,-19.390
-0.785,0.524,-0.490,-20.790,-9.660,-23.590
-0.761,0.495,-0.495,-24.710,-11.340,-24.850
-0.773,0.427,-0.513,-27.860,-12.110,-24.150
-0.784,0.401,-0.539,-29.610,-8.330,-25.970
-0.776,0.407,-0.545,-26.670,-1.960,-26.950

0.932,-0.943,-0.658,43.540,87.990,-168.910
0.976,-0.967,-0.671,41.580,84.910,-162.470
1.012,-0.954,-0.695,41.720,81.900,-152.670
1.012,-0.984,-0.720,38.290,80.010,-142.730
1.035,-1.039,-0.736,36.260,76.160,-132.510
1.049,-1.049,-0.743,37.660,71.120,-119.560
1.060,-1.090,-0.749,39.480,66.080,-110.110
1.054,-1.135,-0.752,40.530,61.250,-100.240
1.039,-1.156,-0.751,41.090,56.070,-91.000
1.026,-1.178,-0.747,41.930,48.930,-79.450
0.985,-1.199,-0.747,43.120,39.270,-66.500
0.971,-1.207,-0.746,44.380,30.310,-56.000
0.954,-1.206,-0.767,47.320,24.570,-44.450
0.939,-1.215,-0.789,50.680,18.480,-30.590
0.921,-1.226,-0.788,51.730,14.210,-17.080
0.911,-1.285,-0.791,49.490,10.290,-3.920
0.911,-1.304,-0.793,47.250,7.070,12.880
0.904,-1.320,-0.782,41.440,2.450,25.760
0.900,-1.356,-0.780,34.790,-2.870,39.060
0.895,-1.353,-0.770,28.140,-7.770,50.750
0.901,-1.373,-0.761,20.300,-12.460,62.930
0.929,-1.391,-0.761,11.830,-17.010,74.970
0.953,-1.377,-0.759,5.390,-21.840,87.570
0.977,-1.382,-0.749,-1.470,-26.110,100.170
1.123,-1.378,-0.735,-8.820,-32.620,112.910
1.026,-1.380,-0.710,-16.240,-37.660,125.440
1.057,-1.389,-0.698,-25.060,-43.260,138.390
1.081,-1.363,-0.691,-33.390,-49.700,155.540
1.096,-1.340,-0.685,-42.770,-56.210,168.630
1.113,-1.312,-0.679,-49.560,-62.510,181.020
1.123,-1.290,-0.667,-55.440,-68.600,192.290
1.132,-1.277,-0.652,-60.830,-74.200,202.790
1.128,-1.259,-0.621,-67.130,-80.640,212.030
1.129,-1.241,-0.590,-75.320,-86.240,220.360
1.114,-1.229,-0.590,-87.500,-89.810,224.350
1.100,-1.202,-0.577,-97.440,-95.200,227.290
1.059,-1.138,-0.561,-104.510,-104.020,237.720
1.049,-1.138,-0.563,-118.440,-109.830,236.390
1.045,-1.076,-0.553,-124.390,-116.830,242.760
1.006,-1.034,-0.538,-130.550,-120.820,244.440
0.927,-0.981,-0.519,-128.940,-127.890,250.740
0.888,-0.961,-0.518,-130.060,-131.460,255.220
0.853,-0.927,-0.517,-132.160,-134.190,259.000
0.827,-0.886,-0.508,-135.660,-136.220,262.080
0.797,-0.845,-0.510,-142.030,-141.260,266.630
0.785,-0.787,-0.483,-144.900,-151.760,273.560
0.745,-0.741,-0.472,-148.120,-159.460,273.840
0.686,-0.686,-0.449,-148.680,-166.880,272.650
0.617,-0.651,-0.442,-149.520,-170.450,272.300
0.579,-0.617,-0.427,-150.640,-174.300,272.370
0.524,-0.557,-0.440,-150.360,-177.030,271.040
0.466,-0.523,-0.450,-150.990,-178.430,269.220
0.405,-0.489,-0.475,-152.320,-178.080,267.400
0.358,-0.458,-0.487,-149.520,-177.800,264.950
0.324,-0.378,-0.471,-144.340,-177.310,262.220
0.276,-0.347,-0.457,-140.420,-177.380,258.090
0.221,-0.309,-0.447,-137.970,-178.500,255.080
0.194,-0.351,-0.472,-140.630,-179.060,250.110
0.187,-0.314,-0.455,-140.840,-180.670,245.980
0.158,-0.225,-0.435,-143.920,-183.400,236.740
0.120,-0.207,-0.432,-143.010,-185.850,231.350
0.075,-0.153,-0.438,-136.780,-185.710,225.890
0.048,-0.061,-0.415,-127.190,-184.660,221.200
-0.001,-0.033,-0.417,-118.230,-181.720,215.740
-0.065,-0.004,-0.409,-107.730,-179.340,211.610
-0.101,0.037,-0.411,-95.270,-175.140,207.760
-0.147,0.074,-0.394,-88.550,-170.310,203.280
-0.172,0.028,-0.422,-88.760,-164.990,198.030
-0.184,0.054,-0.402,-81.620,-159.530,193.200
-0.245,0.133,-0.404,-68.880,-154.140,190.610
-0.230,0.137,-0.407,-65.590,-137.970,178.570
-0.274,0.183,-0.368,-63.000,-131.110,175.000
-0.315,0.163,-0.376,-58.730,-124.670,172.480
-0.383,0.224,-0.400,-49.840,-103.320,173.320
-0.378,0.242,-0.353,-43.330,-102.270,171.150
-0.219,0.225,-0.365,-37.310,-93.800,160.230
-0.299,0.230,-0.331,-34.510,-100.450,151.130
-0.348,0.207,-0.403,-45.150,-88.410,137.130
-0.392,0.228,-0.397,-50.400,-75.460,126.910
-0.406,0.276,-0.372,-48.090,-69.510,119.700
-0.419,0.333,-0.344,-44.240,-62.650,113.330
-0.478,0.342,-0.379,-38.920,-51.170,104.300
-0.447,0.376,-0.333,-27.510,-54.670,103.740
-0.318,0.442,-0.355,-14.840,-42.000,90.230
-0.605,0.486,-0.282,-4.480,-47.390,95.760
-0.583,0.397,-0.346,-6.860,-28.630,88.550
-0.609,0.427,-0.336,-1.750,-19.110,80.570
-0.557,0.469,-0.322,4.270,-16.870,81.130
-0.600,0.440,-0.346,8.960,-21.000,87.570
-0.582,0.384,-0.386,5.390,-18.550,85.820
-0.539,0.393,-0.391,-0.420,-19.880,83.440
-0.514,0.431,-0.405,-6.020,-24.710,79.520
-0.620,0.612,-0.432,-6.370,-24.430,73.850
-0.676,0.544,-0.453,-4.480,-19.670,67.970
-0.665,0.586,-0.459,-0.700,-18.410,62.370
-0.665,0.583,-0.477,2.450,-18.620,57.470
-0.723,0.565,-0.490,1.890,-16.100,52.850
-0.728,0.529,-0.502,-0.280,-16.450,48.860
-0.722,0.556,-0.514,-0.560,-16.240,45.500
-0.758,0.584,-0.517,0.770,-15.330,42.070
-0.784,0.578,-0.523,-0.700,-15.120,19.460
-0.802,0.577,-0.538,-4.200,-12.810,29.190
-0.826,0.594,-0.560,-8.330,-9.520,23.590
-0.828,0.616,-0.565,-11.200,-6.440,18.060
-0.825,0.634,-0.566,-12.040,-5.320,12.810
-0.803,0.633,-0.583,-13.020,-3.430,4.690
-0.848,0.655,-0.548,-15.610,-1.400,-3.430
-0.896,0.683,-0.534,-16.240,-1.120,-8.400
-0.880,0.679,-0.522,-16.730,-2.870,-15.540
-0.911,0.723,-0.503,-12.180,-5.250,-19.250
-0.918,0.719,-0.500,-8.610,-8.750,-21.000
-0.918,0.703,-0.521,-6.930,-9.730,-28.280
-0.895,0.703,-0.533,-6.300,-7.700,-35.980
-0.877,0.699,-0.533,-6.160,-6.650,-42.980
-0.874,0.697,-0.538,-7.560,0.980,-53.970
-0.869,0.704,-0.510,-9.590,4.620,-66.780
-0.858,0.698,-0.488,-11.060,5.950,-76.790
-0.848,0.706,-0.460,-14.560,10.080,-86.520
-0.863,0.708,-0.442,-16.730,13.370,-96.180

0.855,-0.822,-0.849,10.640,92.820,-150.710
0.880,-0.835,-0.879,12.670,87.850,-144.200
0.916,-0.860,-0.890,17.570,84.000,-136.920
0.936,-0.891,-0.891,25.130,80.780,-128.520
0.953,-0.938,-0.898,34.230,77.700,-119.630
0.967,-0.996,-0.915,41.020,73.710,-110.040
0.989,-1.071,-0.935,42.700,69.230,-100.030
1.027,-1.130,-0.956,42.000,67.550,-96.390
1.033,-1.152,-0.973,41.790,56.630,-81.270
1.012,-1.190,-0.999,43.540,48.930,-67.270
0.967,-1.201,-1.017,43.540,40.040,-49.140
0.974,-1.228,-1.032,43.960,34.580,-18.060
0.997,-1.262,-1.027,41.510,30.450,-18.830
0.942,-1.310,-1.007,33.880,15.960,-0.770
0.954,-1.362,-1.008,23.310,6.720,12.250
0.980,-1.379,-1.017,13.090,-5.110,27.230
0.978,-1.353,-1.035,4.620,-14.910,42.980
0.951,-1.326,-1.042,-2.450,-23.310,58.380
0.931,-1.313,-1.050,-8.050,-33.180,72.870
0.943,-1.323,-1.049,-14.000,-40.810,86.100
0.973,-1.342,-1.042,-20.300,-48.790,98.630
0.998,-1.328,-1.036,-26.040,-57.190,111.440
1.017,-1.322,-1.031,-32.200,-65.660,141.400
1.020,-1.285,-1.032,-36.470,-73.780,139.580
1.024,-1.245,-1.025,-38.640,-81.900,150.430
1.024,-1.219,-1.001,-41.440,-90.090,160.370
1.032,-1.216,-0.978,-45.430,-98.630,169.750
1.054,-1.207,-0.959,-49.980,-107.310,178.570
1.072,-1.161,-0.937,-54.390,-119.490,187.320
1.057,-1.120,-0.915,-58.520,-127.400,195.510
1.035,-1.087,-0.895,-62.790,-134.190,203.210
1.027,-1.064,-0.872,-66.920,-141.050,209.930
1.021,-1.017,-0.851,-69.020,-147.070,216.580
1.005,-0.971,-0.839,-70.630,-151.480,225.330
0.974,-0.904,-0.810,-69.650,-155.330,231.140
0.941,-0.897,-0.780,-71.540,-159.320,236.040
0.921,-0.895,-0.741,-75.390,-163.380,240.240
0.898,-0.882,-0.699,-82.880,-166.740,243.670
0.893,-0.895,-0.673,-88.130,-170.870,245.560
0.872,-0.813,-0.627,-88.620,-172.480,250.180
0.844,-0.783,-0.600,-89.810,-172.900,253.330
0.822,-0.784,-0.577,-94.080,-174.930,256.200
0.795,-0.721,-0.552,-95.130,-177.520,259.700
0.751,-0.616,-0.517,-93.590,-180.460,266.140
0.688,-0.589,-0.508,-94.990,-182.630,270.620
0.626,-0.554,-0.475,-96.530,-185.710,274.470
0.564,-0.505,-0.432,-98.000,-188.160,276.920
0.482,-0.466,-0.431,-97.790,-187.810,278.880
0.438,-0.442,-0.424,-96.460,-186.340,279.510
0.395,-0.394,-0.395,-94.220,-185.990,280.560
0.343,-0.369,-0.392,-92.260,-183.960,280.700
0.299,-0.353,-0.397,-90.300,-182.210,280.560
0.256,-0.308,-0.376,-87.570,-180.390,278.320
0.217,-0.253,-0.363,-82.040,-178.500,276.570
0.152,-0.193,-0.330,-74.550,-177.380,278.880
0.074,-0.183,-0.314,-67.900,-173.740,274.540
0.058,-0.154,-0.286,-64.820,-166.460,269.500
0.032,-0.149,-0.294,-69.090,-161.770,262.500
0.001,-0.135,-0.318,-67.760,-156.520,255.430
-0.007,-0.094,-0.352,-63.560,-151.830,253.050
-0.014,-0.023,-0.371,-55.020,-144.410,246.960
-0.041,0.042,-0.365,-50.540,-137.620,241.780
-0.070,0.061,-0.362,-44.590,-132.370,238.280
-0.140,0.095,-0.365,-39.340,-121.450,229.600
-0.199,0.118,-0.312,-37.380,-114.660,222.950
-0.260,0.144,-0.286,-35.350,-109.970,224.490
-0.252,0.121,-0.371,-37.450,-97.440,212.730
-0.280,0.187,-0.382,-33.110,-89.600,205.800
-0.307,0.214,-0.409,-27.650,-81.830,196.700
-0.283,0.226,-0.439,-25.480,-78.750,194.950
-0.236,0.247,-0.436,-22.890,-79.590,196.350
-0.205,0.246,-0.411,-23.240,-80.430,191.660
-0.285,0.274,-0.419,-26.250,-74.900,180.740
-0.366,0.332,-0.412,-22.400,-68.040,171.640
-0.411,0.370,-0.404,-18.690,-60.690,165.970
-0.462,0.392,-0.420,-10.990,-53.480,158.270
-0.541,0.445,-0.425,-3.290,-45.500,154.560
-0.512,0.462,-0.436,4.900,-41.510,152.180
-0.486,0.488,-0.456,5.320,-35.910,145.600
-0.476,0.473,-0.495,2.450,-31.080,136.710
-0.459,0.500,-0.510,1.610,-29.960,127.820
-0.520,0.580,-0.520,5.530,-24.220,116.130
-0.587,0.601,-0.513,12.390,-20.440,107.660
-0.557,0.593,-0.508,13.790,-16.310,100.380
-0.610,0.599,-0.525,9.240,-12.180,94.010
-0.628,0.617,-0.554,8.750,-14.070,89.530
-0.597,0.603,-0.624,3.640,-14.070,79.310
-0.594,0.613,-0.643,-2.800,-15.890,67.900
-0.585,0.667,-0.620,-5.320,-17.150,53.130
-0.656,0.748,-0.593,-3.780,-15.820,43.610
-0.704,0.738,-0.576,-4.760,-12.390,33.180
-0.738,0.752,-0.558,-4.410,-10.290,25.760
-0.769,0.792,-0.557,-1.120,-8.680,19.320
-0.817,0.781,-0.572,2.940,-7.560,14.140
-0.812,0.772,-0.579,3.640,-5.740,6.440
-0.794,0.752,-0.593,2.730,-4.970,-1.470
-0.812,0.746,-0.571,1.470,-6.790,-7.700
-0.762,0.726,-0.620,-0.140,-6.510,-15.680
-0.771,0.688,-0.580,-10.220,-8.400,-27.090
-0.847,0.701,-0.550,-13.020,-10.570,-31.360
-0.839,0.697,-0.547,-14.910,-12.250,-35.000
-0.835,0.678,-0.548,-16.100,-13.090,-38.220
-0.846,0.678,-0.543,-14.910,-13.090,-41.580
-0.865,0.729,-0.551,-7.770,-10.150,-44.450
-0.874,0.746,-0.574,1.190,-7.280,-47.880
-0.858,0.725,-0.604,5.180,-4.480,-56.630
-0.830,0.703,-0.611,3.920,-3.290,-64.400
-0.826,0.710,-0.604,3.150,-2.800,-72.310
-0.828,0.719,-0.591,4.410,-2.590,-81.200
-0.810,0.729,-0.562,4.340,0.210,-89.810
-0.825,0.719,-0.556,7.210,3.010,-99.750
-0.801,0.696,-0.513,6.720,8.120,-108.990
-0.775,0.645,-0.492,5.670,10.780,-118.580
-0.736,0.599,-0.492,1.120,13.020,-128.030
-0.697,0.578,-0.506,-1.120,17.500,-137.340
-0.646,0.565,-0.501,0.630,21.140,-145.390
-0.607,0.522,-0.501,2.800,24.500,-152.320
-0.559,0.462,-0.502,7.560,28.630,-161.140
-0.535,0.433,-0.488,14.350,33.530,-166.460

0.845,-1.291,-0.379,78.190,37.940,-137.690
0.847,-1.306,-0.368,72.310,32.900,-127.890
0.849,-1.324,-0.357,68.460,29.680,-119.910
0.851,-1.335,-0.340,67.760,27.370,-110.460
0.841,-1.354,-0.340,67.970,27.230,-99.680
0.854,-1.385,-0.347,67.270,27.440,-89.180
0.860,-1.417,-0.366,63.560,27.300,-79.240
0.883,-1.458,-0.386,55.510,24.010,-72.030
0.942,-1.495,-0.398,47.040,20.090,-61.320
0.957,-1.563,-0.391,34.650,16.800,-49.840
0.949,-1.607,-0.385,22.540,12.740,-36.540
0.935,-1.623,-0.358,11.410,10.290,-23.030
0.934,-1.674,-0.365,-1.820,7.420,-9.590
0.925,-1.671,-0.374,-13.230,4.690,4.830
0.917,-1.669,-0.384,-26.110,2.940,25.620
0.916,-1.694,-0.404,-36.610,-0.560,41.160
0.931,-1.676,-0.418,-47.600,-5.180,56.140
0.931,-1.664,-0.429,-58.450,-9.380,70.560
0.935,-1.652,-0.439,-68.320,-13.790,84.770
0.934,-1.641,-0.433,-77.140,-19.390,98.560
0.966,-1.658,-0.422,-86.870,-24.010,112.140
1.000,-1.659,-0.416,-96.460,-28.630,125.720
1.030,-1.649,-0.418,-106.190,-33.320,138.110
1.040,-1.629,-0.433,-115.500,-38.010,154.910
1.056,-1.574,-0.439,-127.680,-43.540,166.390
1.056,-1.518,-0.443,-136.220,-50.050,177.450
1.036,-1.478,-0.442,-145.180,-56.840,187.950
1.031,-1.429,-0.447,-153.230,-64.820,198.380
1.014,-1.355,-0.451,-158.270,-74.620,208.390
1.003,-1.312,-0.452,-163.520,-81.270,217.420
0.992,-1.287,-0.448,-169.470,-88.200,225.050
0.996,-1.264,-0.443,-173.880,-94.640,232.750
0.994,-1.211,-0.427,-176.120,-101.080,239.680
0.975,-1.161,-0.420,-197.050,-107.450,246.120
0.953,-1.121,-0.418,-184.940,-113.680,249.480
0.929,-1.073,-0.414,-189.070,-119.560,252.280
0.902,-1.008,-0.425,-191.450,-125.370,256.760
0.855,-0.909,-0.436,-192.080,-131.320,260.470
0.809,-0.847,-0.461,-188.720,-135.030,264.460
0.633,-0.786,-0.445,-188.160,-140.560,267.820
0.711,-0.777,-0.462,-192.080,-145.250,267.470
0.680,-0.716,-0.455,-194.740,-150.640,267.260
0.661,-0.704,-0.443,-197.470,-157.010,267.960
0.639,-0.651,-0.435,-197.050,-164.500,269.430
0.585,-0.572,-0.460,-192.500,-168.980,270.620
0.510,-0.481,-0.479,-184.940,-170.450,270.760
0.440,-0.422,-0.482,-176.260,-169.610,269.850
