aX,aY,aZ,gX,gY,gZ
-0.492,0.455,-0.196,5.460,45.780,-195.300
-0.485,0.406,-0.220,9.450,51.590,-197.470
-0.491,0.363,-0.230,13.160,59.220,-199.570
-0.500,0.313,-0.242,13.790,72.660,-201.880
-0.493,0.283,-0.239,14.490,81.690,-203.140
-0.476,0.265,-0.237,15.750,87.570,-203.350

0.632,-1.054,-0.871,51.660,66.920,-109.900
0.643,-1.053,-0.884,51.940,63.490,-105.070
0.634,-1.045,-0.901,52.640,60.200,-100.590
0.628,-1.076,-0.913,51.100,54.950,-98.210
0.630,-1.095,-0.919,48.090,50.190,-94.080
0.620,-1.118,-0.917,44.940,45.500,-89.530
0.614,-1.130,-0.939,41.580,39.690,-84.490
0.622,-1.151,-0.960,38.780,35.140,-79.170
0.634,-1.161,-0.976,36.680,30.800,-74.480
0.640,-1.196,-0.989,35.350,25.970,-66.430
0.645,-1.229,-0.994,34.720,21.070,-59.430
0.654,-1.225,-0.991,36.120,16.870,-52.150
0.653,-1.226,-0.988,41.370,13.090,-43.190
0.667,-1.267,-0.979,45.150,9.450,-33.880
0.681,-1.281,-0.970,47.390,6.510,-23.590
0.708,-1.330,-0.967,46.200,2.660,-13.930
0.750,-1.388,-0.948,45.780,-2.590,-4.130
0.774,-1.420,-0.922,48.370,-8.050,8.260
0.788,-1.450,-0.911,51.310,-11.830,21.700
0.775,-1.464,-0.893,51.660,-15.050,36.400
0.797,-1.517,-0.859,48.930,-18.760,50.750
0.843,-1.561,-0.829,43.470,-21.000,64.610
0.887,-1.559,-0.802,39.060,-22.540,79.240
0.910,-1.565,-0.749,37.660,-26.530,94.710
0.930,-1.614,-0.701,37.170,-29.680,109.970
0.960,-1.674,-0.651,36.540,-30.380,125.510
0.992,-1.724,-0.609,36.400,-29.400,141.120
1.016,-1.768,-0.580,36.400,-27.440,161.700
1.025,-1.788,-0.561,35.490,-24.780,174.790
1.037,-1.815,-0.540,31.010,-24.220,185.640
1.069,-1.830,-0.509,21.980,-26.250,194.460
1.099,-1.795,-0.477,10.360,-29.260,202.090
1.119,-1.761,-0.427,-4.480,-35.560,208.600
1.136,-1.690,-0.386,-16.450,-40.950,216.300
1.134,-1.581,-0.349,-25.060,-46.410,227.010
1.072,-1.459,-0.311,-33.250,-49.560,239.190
1.044,-1.362,-0.316,-42.630,-50.890,255.710
1.017,-1.254,-0.318,-52.360,-52.220,269.570
